Year,Make,Model,Series,Style,Covered?,Fuel Type,Classification,MPGe (Note that this is electric mpge for PHEVs),Miles per kWh,Miles per gallon,Total Range,Capacity (kWh),,,,,,,,,,,,,
2019,Audi,Q7,,,0,Gasoline,,,,21,472,,,,,,,,,,,,,,
2021,Audi,e-tron,Premium,4D SUV Qtro,1,Electricity,EV,78,2.31,-,222,95.9,,,,,,,,,,,,,
2021,Audi,e-tron,Premium Plus,4D SUV Qtro,1,Electricity,EV,78,2.31,-,222,95.9,,,,,,,,,,,,,
2021,Audi,e-tron,Prestige,4D SUV Qtro,1,Electricity,EV,78,2.31,-,222,95.9,,,,,,,,,,,,,
2021,Audi,Q5,Premium 55 TFSI,4D SUV 2.0T PHEV,1,Premium and Electricity,PHEV,50,1.48,26.7163,19,12.8,,,,,,,,,,,,,
2021,Audi,Q5,Premium Plus 55 TFSI,4D SUV 2.0T PHEV,1,Premium and Electricity,PHEV,50,1.48,26.7163,19,12.8,,,,,,,,,,,,,
2021,Audi,Q5,Prestige 55 TFSI,4D SUV 2.0T PHEV,1,Premium and Electricity,PHEV,50,1.48,26.7163,19,12.8,,,,,,,,,,,,,
2020,Audi,Q5,Premium,4D SUV 2.0T PHEV,1,Premium and Electricity,PHEV,65,1.93,26.5403,20,10.4,,,,,,,,,,,,,
2020,Audi,Q5,Premium Plus,4D SUV 2.0T PHEV,1,Premium and Electricity,PHEV,65,1.93,26.5403,20,10.4,,,,,,,,,,,,,
2020,Audi,Q5,Prestige,4D SUV 2.0T PHEV,1,Premium and Electricity,PHEV,65,1.93,26.5403,20,10.4,,,,,,,,,,,,,
2019,Audi,e-tron,Premium Plus,4D SUV Qtro,1,Electricity,EV,74,2.20,-,204,92.9,,,,,,,,,,,,,
2019,Audi,e-tron,Prestige,4D SUV Qtro,1,Electricity,EV,74,2.20,-,204,92.9,,,,,,,,,,,,,
2021,Ford,Mustang Mach-E,California Route 1,4D SUV RWD,1,Electricity,EV,101,3.00,-,305,101.8,,,,,,,,,,,,,
2021,Ford,Mustang Mach-E,Premium,4D SUV AWD,1,Electricity,EV,93,2.76,-,211,76.5,,,,,,,,,,,,,
2021,Ford,Mustang Mach-E,Premium,4D SUV RWD,1,Electricity,EV,100,2.97,-,230,77.5,,,,,,,,,,,,,
2021,Ford,Mustang Mach-E,Select,4D SUV AWD,1,Electricity,EV,90,2.67,-,270,101.1,,,,,,,,,,,,,
2021,Ford,Mustang Mach-E,Select,4D SUV RWD,1,Electricity,EV,97,2.88,-,300,104.2,,,,,,,,,,,,,
2020,Ford,Escape,SE PHEV,4D SUV FWD,1,Regular Gas and Electricity,PHEV,102,3.03,40.6991,37,12.2,,,,,,,,,,,,,
2020,Ford,Escape,SEL PHEV,4D SUV FWD,1,Regular Gas and Electricity,PHEV,105,3.12,40.4848,37,11.9,,,,,,,,,,,,,
2020,Ford,Escape,Titanium PHEV,4D SUV FWD,1,Regular Gas and Electricity,PHEV,105,3.12,40.4848,37,11.9,,,,,,,,,,,,,
2022,Hyundai,Kona,EV Limited,4D SUV FWD,1,Electricity,EV,120,3.56,-,258,72.5,,,,,,,,,,,,,
2022,Hyundai,Kona,EV SEL,4D SUV FWD,1,Electricity,EV,120,3.56,-,258,72.5,,,,,,,,,,,,,
2022,Hyundai,Santa Fe,Limited PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,76,2.26,32.7897,31,13.7,,,,,,,,,,,,,
2022,Hyundai,Santa Fe,SEL Convenience PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,76,2.26,32.7897,31,13.7,,,,,,,,,,,,,
2021,Hyundai,Kona,EV Limited,4D SUV FWD,1,Electricity,EV,120,3.56,-,258,72.5,,,,,,,,,,,,,
2021,Hyundai,Kona,EV SEL,4D SUV FWD,1,Electricity,EV,120,3.56,-,258,72.5,,,,,,,,,,,,,
2021,Hyundai,Kona,EV Ultimate,4D SUV FWD,1,Electricity,EV,120,3.56,-,258,72.5,,,,,,,,,,,,,
2020,Hyundai,Kona,EV Limited,4D SUV FWD,1,Electricity,EV,120,3.56,-,258,72.5,,,,,,,,,,,,,
2020,Hyundai,Kona,EV SEL,4D SUV FWD,1,Electricity,EV,120,3.56,-,258,72.5,,,,,,,,,,,,,
2020,Hyundai,Kona,EV Ultimate,4D SUV FWD,1,Electricity,EV,120,3.56,-,258,72.5,,,,,,,,,,,,,
2019,Hyundai,Kona,EV Limited,4D SUV FWD,1,Electricity,EV,120,3.56,-,258,72.5,,,,,,,,,,,,,
2019,Hyundai,Kona,EV SEL,4D SUV FWD,1,Electricity,EV,120,3.56,-,258,72.5,,,,,,,,,,,,,
2019,Hyundai,Kona,EV Ultimate,4D SUV FWD,1,Electricity,EV,120,3.56,-,258,72.5,,,,,,,,,,,,,
2020,Jaguar,I-Pace,HSE,4D SUV,1,Electricity,EV,76,2.26,-,234,103.8,,,,,,,,,,,,,
2020,Jaguar,I-Pace,S,4D SUV,1,Electricity,EV,76,2.26,-,234,103.8,,,,,,,,,,,,,
2020,Jaguar,I-Pace,SE,4D SUV,1,Electricity,EV,76,2.26,-,234,103.8,,,,,,,,,,,,,
2019,Jaguar,I-Pace,First Edition,4D SUV,1,Electricity,EV,76,2.26,-,234,103.8,,,,,,,,,,,,,
2019,Jaguar,I-Pace,HSE,4D SUV,1,Electricity,EV,76,2.26,-,234,103.8,,,,,,,,,,,,,
2019,Jaguar,I-Pace,S,4D SUV,1,Electricity,EV,76,2.26,-,234,103.8,,,,,,,,,,,,,
2019,Jaguar,I-Pace,SE,4D SUV,1,Electricity,EV,76,2.26,-,234,103.8,,,,,,,,,,,,,
2021,Kia,Niro,EV EX,4D SUV,1,Electricity,EV,112,3.32,-,239,71.9,,,,,,,,,,,,,
2021,Kia,Niro,EV EX Premium,4D SUV,1,Electricity,EV,112,3.32,-,239,71.9,,,,,,,,,,,,,
2021,Kia,Niro,EX PHEV,4D SUV,1,Regular Gas and Electricity,PHEV,105,3.12,46.4127,26,8.3,,,,,,,,,,,,,
2021,Kia,Niro,EX Premium PHEV,4D SUV,1,Regular Gas and Electricity,PHEV,105,3.12,46.4127,26,8.3,,,,,,,,,,,,,
2021,Kia,Niro,LXS PHEV,4D SUV,1,Regular Gas and Electricity,PHEV,105,3.12,46.4127,26,8.3,,,,,,,,,,,,,
2020,Kia,Niro,EV EX,4D SUV,1,Electricity,EV,112,3.32,-,239,71.9,,,,,,,,,,,,,
2020,Kia,Niro,EV EX Premium,4D SUV,1,Electricity,EV,112,3.32,-,239,71.9,,,,,,,,,,,,,
2020,Kia,Niro,EX PHEV,4D SUV,1,Regular Gas and Electricity,PHEV,105,3.12,46.4127,26,8.3,,,,,,,,,,,,,
2020,Kia,Niro,EX Premium PHEV,4D SUV,1,Regular Gas and Electricity,PHEV,105,3.12,46.4127,26,8.3,,,,,,,,,,,,,
2020,Kia,Niro,LXS PHEV,4D SUV,1,Regular Gas and Electricity,PHEV,105,3.12,46.4127,26,8.3,,,,,,,,,,,,,
2019,Kia,Niro,EV EX,4D SUV,1,Electricity,EV,112,3.32,-,239,71.9,,,,,,,,,,,,,
2019,Kia,Niro,EV EX Premium,4D SUV,1,Electricity,EV,112,3.32,-,239,71.9,,,,,,,,,,,,,
2019,Kia,Niro,EX PHEV,4D SUV,1,Regular Gas and Electricity,PHEV,105,3.12,46.4,26,8.3,,,,,,,,,,,,,
2019,Kia,Niro,EX Premium PHEV,4D SUV,1,Regular Gas and Electricity,PHEV,105,3.12,46.4,26,8.3,,,,,,,,,,,,,
2019,Kia,Niro,LX PHEV,4D SUV,1,Regular Gas and Electricity,PHEV,105,3.12,46.4,26,8.3,,,,,,,,,,,,,
2018,Kia,Niro,EX PHEV,4D SUV,1,Regular Gas and Electricity,PHEV,105,3.12,46.4,26,8.3,,,,,,,,,,,,,
2018,Kia,Niro,EX Premium PHEV,4D SUV,1,Regular Gas and Electricity,PHEV,105,3.12,46.4,26,8.3,,,,,,,,,,,,,
2018,Kia,Niro,LX PHEV,4D SUV,1,Regular Gas and Electricity,PHEV,105,3.12,46.4,26,8.3,,,,,,,,,,,,,
2021,Land Rover,Range Rover Sport,Autobiography PHEV,4D SUV,1,Premium and Electricity,PHEV,42,1.25,19.2349,19,15.2,,,,,,,,,,,,,
2021,Land Rover,Range Rover,Autobiography,4D SUV PHEV,1,Premium and Electricity,PHEV,42,1.25,19.2349,19,15.2,,,,,,,,,,,,,
2021,Land Rover,Range Rover,HSE,4D SUV PHEV,1,Premium and Electricity,PHEV,42,1.25,19.2349,19,15.2,,,,,,,,,,,,,
2021,Land Rover,Range Rover Sport,HSE Silver Edition,4D SUV PHEV,1,Premium and Electricity,PHEV,42,1.25,19.2349,19,15.2,,,,,,,,,,,,,
2020,Land Rover,Range Rover Sport,Autobiography PHEV,4D SUV,1,Premium and Electricity,PHEV,42,1.25,19.2349,19,15.2,,,,,,,,,,,,,
2020,Land Rover,Range Rover Sport,HSE PHEV,4D SUV,1,Premium and Electricity,PHEV,42,1.25,19.2332,19,15.2,,,,,,,,,,,,,
2020,Land Rover,Range Rover,Autobiography,4D SUV PHEV,1,Premium and Electricity,PHEV,42,1.25,19.2332,19,15.2,,,,,,,,,,,,,
2020,Land Rover,Range Rover,HSE,4D SUV PHEV,1,Premium and Electricity,PHEV,42,1.25,19.2332,19,15.2,,,,,,,,,,,,,
2019,Land Rover,Range Rover Sport,HSE PHEV,4D SUV,1,Premium and Electricity,PHEV,42,1.25,19.2332,19,15.2,,,,,,,,,,,,,
2019,Land Rover,Range Rover,HSE,4D SUV PHEV,1,Premium and Electricity,PHEV,42,1.25,19.2332,19,15.2,,,,,,,,,,,,,
2021,Lincoln,Aviator,Black Label GT PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,56,1.66,22.8265,21,12.6,,,,,,,,,,,,,
2021,Lincoln,Aviator,Grand Touring PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,56,1.66,22.8265,21,12.6,,,,,,,,,,,,,
2021,Lincoln,Corsair,Grand Touring Hybrid,4D SUV AWD,1,Regular Gas and Electricity,PHEV,78,2.31,33.2893,28,12.1,,,,,,,,,,,,,
2020,Lincoln,Aviator,Black Label GT PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,56,1.66,22.8,21,12.6,,,,,,,,,,,,,
2020,Lincoln,Aviator,Grand Touring PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,56,1.66,22.8,21,12.6,,,,,,,,,,,,,
2019,Mercedes-Benz,GLC,GLC350e,4D SUV 4Matic,1,Premium and Electricity,PHEV,56,1.66,25.4,10,6.0,,,,,,,,,,,,,
2018,Mercedes-Benz,GLC,GLC350e,4D SUV 4Matic,1,Premium and Electricity,PHEV,56,1.66,25.4,10,6.0,,,,,,,,,,,,,
2022,Mitsubishi,Outlander,GT PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,74,2.20,25.8543,24,10.9,,,,,,,,,,,,,
2022,Mitsubishi,Outlander,LE PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,74,2.20,25.8543,24,10.9,,,,,,,,,,,,,
2022,Mitsubishi,Outlander,SEL PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,74,2.20,25.8543,24,10.9,,,,,,,,,,,,,
2021,Mitsubishi,Outlander,GT PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,74,2.20,25.8543,24,10.9,,,,,,,,,,,,,
2021,Mitsubishi,Outlander,LE PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,74,2.20,25.8543,24,10.9,,,,,,,,,,,,,
2021,Mitsubishi,Outlander,SEL PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,74,2.20,25.8543,24,10.9,,,,,,,,,,,,,
2020,Mitsubishi,Outlander,GT PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,74,2.20,25,22,10.0,,,,,,,,,,,,,
2020,Mitsubishi,Outlander,SEL PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,74,2.20,25,22,10.0,,,,,,,,,,,,,
2019,Mitsubishi,Outlander,GT PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,74,2.20,25,22,10.0,,,,,,,,,,,,,
2019,Mitsubishi,Outlander,SEL PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,74,2.20,25,22,10.0,,,,,,,,,,,,,
2018,Mitsubishi,Outlander,GT PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,74,2.20,25,22,10.0,,,,,,,,,,,,,
2018,Mitsubishi,Outlander,SEL PHEV,4D SUV AWD,1,Regular Gas and Electricity,PHEV,74,2.20,25,22,10.0,,,,,,,,,,,,,
2021,Porsche,Cayenne,E-Hybrid,4D SUV,1,Premium and Electricity,PHEV,46,1.36,20.8658,17,12.5,,,,,,,,,,,,,
2021,Porsche,Cayenne,Turbo S E-Hybrid,4D SUV,1,Premium and Electricity,PHEV,42,1.25,18.052,15,12.0,,,,,,,,,,,,,
2020,Porsche,Cayenne,E-Hybrid,4D SUV,1,Premium Gas or Electricity,PHEV,41,1.22,20.6147,14,11.5,,,,,,,,,,,,,
2020,Porsche,Cayenne,Turbo S E-Hybrid,4D SUV,1,Premium Gas or Electricity,PHEV,39,1.16,17.6489,12,10.4,,,,,,,,,,,,,
2019,Porsche,Cayenne,E-Hybrid,4D SUV,1,Premium Gas or Electricity,PHEV,46,1.36,20.9305,13,9.5,,,,,,,,,,,,,
2018,Porsche,Cayenne,S E-Hybrid,4D SUV,1,Premium Gas or Electricity,PHEV,47,1.39,22.1658,14,10.0,,,,,,,,,,,,,
2018,Porsche,Cayenne,S E-Hybrid Platinum,4D SUV,1,Premium Gas or Electricity,PHEV,47,1.39,22.1658,14,10.0,,,,,,,,,,,,,
2017,Porsche,Cayenne,S E-Hybrid,4D SUV,1,Premium Gas or Electricity,PHEV,46,1.36,22.1658,14,10.3,,,,,,,,,,,,,
